ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060793958881101,72060793958881101,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881101,72060793958881101,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881101,72060793958881101,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881101,72060793958881101,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881103,72060793958881096,BL,,,,Tactical Power Generator Specialist,102,E-4,91D1O,,0,0,1,1,0,0,23-Mar-2026
72060793958881103,72060793958881103,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881103,72060793958881103,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881103,72060793958881103,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881103,72060793958881103,EQ,,,,TOOL KIT GENERAL ME,102,,T28688,A,0,0,0,0,0,1,23-Mar-2026
72060793958881103,72060793958881103,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881105,72060793958881096,BL,,,,#2 Wheeled Vehicle Mechanic,102,E-3,91B1O,,0,0,1,1,0,0,23-Mar-2026
72060793958881105,72060793958881105,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881105,72060793958881105,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881105,72060793958881105,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881105,72060793958881105,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881105,72060793958881105,EQ,,,,TOOL KIT GENERAL ME,102,,T28688,A,0,0,0,0,0,1,23-Mar-2026
